,,,,,,,,,,,Control,,,,Treatment,,,,Experiment details,,,
ID,Citation,Continent,Climatic region,Country,Site,Measuring date,Treatment Type,Treatment scale,Response Variable,Source,Mean. Control,SE.Control,n.Control,SD.Control,Mean. Treatment,SE.Treatment,n.Treatment,SD.Treatment,Community type,Experimental method,,
17,Henry et al. (2006),North America,Mediterranean,USA,Jasper Ridge,2004,Fert,Local,Shoot Biomass,Figure,823.91,180.35,6,441.77,1043.62,41.23,6,100.99,Natural grassland,FACE experiment,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Drought,Global,ANPP,Table,407.30,50.90,3,88.16,438.20,79.50,3,137.70,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Flood,Global,ANPP,Table,407.30,50.90,3,88.16,482.60,123.50,3,213.91,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Warming,Global,ANPP,Table,407.30,50.90,3,88.16,504.60,35.30,3,61.14,Natural grassland,Infrared heaters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Warming,Global,ANPP,Table,407.30,50.90,3,88.16,541.10,24.80,3,42.95,Natural grassland,Infrared heaters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Warming,Global,ANPP,Table,407.30,50.90,3,88.16,377.30,18.10,3,31.35,Natural grassland,Infrared heaters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,DroughtxWarming,GlobalxGlobal,ANPP,Table,407.30,50.90,3,88.16,385.90,67.30,3,116.57,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,DroughtxWarming,GlobalxGlobal,ANPP,Table,407.30,50.90,3,88.16,336.50,94.40,3,163.51,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,DroughtxWarming,GlobalxGlobal,ANPP,Table,407.30,50.90,3,88.16,370.80,139.10,3,240.93,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,FloodxWarming,GlobalxGlobal,ANPP,Table,407.30,50.90,3,88.16,439.90,69.20,3,119.86,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,FloodxWarming,GlobalxGlobal,ANPP,Table,407.30,50.90,3,88.16,425.70,70.70,3,122.46,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,FloodxWarming,GlobalxGlobal,ANPP,Table,407.30,50.90,3,88.16,422.70,47.50,3,82.27,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Drought,Global,BNPP,Table,179.00,102.00,3,176.67,216.00,102.00,3,176.67,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Flood,Global,BNPP,Table,179.00,102.00,3,176.67,154.00,94.00,3,162.81,Natural grassland,Rainout Shelters,,
